dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Kamadhoo,2.690582959641256,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,Youth unemployment rate (18-35years) (%),2.690582959641256
Employment,NEET rate (15-24 years) (%),Baa Atoll,Kamadhoo,16.666666666666664,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,NEET rate (15-24 years) (%),16.666666666666664
Employment,NEET rate (18-35 years) (%),Baa Atoll,Kamadhoo,5.263157894736842,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007002,NEET rate (18-35 years) (%),5.263157894736842
Employment,Labour force participation rate (%),Baa Atoll,Kendhoo,76.85589519650655,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Labour force participation rate (%),76.85589519650655
Employment,Employment-to-population ratio (%),Baa Atoll,Kendhoo,73.21688500727802,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Employment-to-population ratio (%),73.21688500727802
Employment,Unemployment rate (%),Baa Atoll,Kendhoo,4.734848484848484,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Unemployment rate (%),4.734848484848484
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Kendhoo,14.890016920473771,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Combined rate of unemployment and potential labour force (%),14.890016920473771
Employment,Inactivity rate (%),Baa Atoll,Kendhoo,23.144104803493452,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Inactivity rate (%),23.144104803493452
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Kendhoo,15.492957746478872,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Youth unemployment rate (15-24 years) (%),15.492957746478872
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Kendhoo,8.095238095238095,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,Youth unemployment rate (18-35years) (%),8.095238095238095
Employment,NEET rate (15-24 years) (%),Baa Atoll,Kendhoo,24.074074074074073,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,NEET rate (15-24 years) (%),24.074074074074073
Employment,NEET rate (18-35 years) (%),Baa Atoll,Kendhoo,7.865168539325842,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007003,NEET rate (18-35 years) (%),7.865168539325842
Employment,Labour force participation rate (%),Baa Atoll,Kihaadhoo,72.97297297297297,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Labour force participation rate (%),72.97297297297297
Employment,Employment-to-population ratio (%),Baa Atoll,Kihaadhoo,70.87087087087087,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Employment-to-population ratio (%),70.87087087087087
Employment,Unemployment rate (%),Baa Atoll,Kihaadhoo,2.880658436213992,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Unemployment rate (%),2.880658436213992
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Kihaadhoo,12.915129151291511,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Combined rate of unemployment and potential labour force (%),12.915129151291511
Employment,Inactivity rate (%),Baa Atoll,Kihaadhoo,27.027027027027028,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Inactivity rate (%),27.027027027027028
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Kihaadhoo,14.705882352941178,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Youth unemployment rate (15-24 years) (%),14.705882352941178
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Kihaadhoo,3.508771929824561,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,Youth unemployment rate (18-35years) (%),3.508771929824561
Employment,NEET rate (15-24 years) (%),Baa Atoll,Kihaadhoo,15.294117647058824,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,NEET rate (15-24 years) (%),15.294117647058824
Employment,NEET rate (18-35 years) (%),Baa Atoll,Kihaadhoo,5.109489051094891,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007004,NEET rate (18-35 years) (%),5.109489051094891
Employment,Labour force participation rate (%),Baa Atoll,Kudarikilu,74.32762836185819,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Labour force participation rate (%),74.32762836185819
Employment,Employment-to-population ratio (%),Baa Atoll,Kudarikilu,73.10513447432763,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Employment-to-population ratio (%),73.10513447432763
Employment,Unemployment rate (%),Baa Atoll,Kudarikilu,1.644736842105263,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Unemployment rate (%),1.644736842105263
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Kudarikilu,11.799410029498524,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Combined rate of unemployment and potential labour force (%),11.799410029498524
Employment,Inactivity rate (%),Baa Atoll,Kudarikilu,25.67237163814181,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Inactivity rate (%),25.67237163814181
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Kudarikilu,2.631578947368421,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Youth unemployment rate (15-24 years) (%),2.631578947368421
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Kudarikilu,1.9867549668874176,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,Youth unemployment rate (18-35years) (%),1.9867549668874176
Employment,NEET rate (15-24 years) (%),Baa Atoll,Kudarikilu,10.344827586206897,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,NEET rate (15-24 years) (%),10.344827586206897
Employment,NEET rate (18-35 years) (%),Baa Atoll,Kudarikilu,2.2598870056497176,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007001,NEET rate (18-35 years) (%),2.2598870056497176
Employment,Labour force participation rate (%),Baa Atoll,Maalhos,81.42493638676844,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Labour force participation rate (%),81.42493638676844
Employment,Employment-to-population ratio (%),Baa Atoll,Maalhos,79.89821882951654,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Employment-to-population ratio (%),79.89821882951654
Employment,Unemployment rate (%),Baa Atoll,Maalhos,1.875,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Unemployment rate (%),1.875
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Maalhos,8.720930232558139,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Combined rate of unemployment and potential labour force (%),8.720930232558139
Employment,Inactivity rate (%),Baa Atoll,Maalhos,18.575063613231553,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Inactivity rate (%),18.575063613231553
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Maalhos,2.7777777777777777,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Youth unemployment rate (15-24 years) (%),2.7777777777777777
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Maalhos,2.7777777777777777,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,Youth unemployment rate (18-35years) (%),2.7777777777777777
Employment,NEET rate (15-24 years) (%),Baa Atoll,Maalhos,15,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,NEET rate (15-24 years) (%),15
Employment,NEET rate (18-35 years) (%),Baa Atoll,Maalhos,3.067484662576687,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007007,NEET rate (18-35 years) (%),3.067484662576687
