dataset,indicator,atoll_official,island,value,normalized_value,sort_order,atoll_official_name,population,indicator2,value2
"Ukulhas, Ari Atholhu Uthuruburi",Population,Alif Uthuru Buri,Ukulhas,1284,0.24465531039213445,9,Ari Atholhu Uthuruburi,1284,Population,1284
"Dhangethi, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Dhangethi,936,0.17834686178118214,9,Ari Atholhu Dhekunuburi,936,Population,936
"Dhidhdhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Dhidhdhoo,141,0.02686635417857551,9,Ari Atholhu Dhekunuburi,141,Population,141
"Dhigurah, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Dhigurah,761,0.14500209595670896,9,Ari Atholhu Dhekunuburi,761,Population,761
"Fenfushi, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Fenfushi,1000,0.19054151899698946,9,Ari Atholhu Dhekunuburi,1000,Population,1000
"Hanghghaameedhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Hanghghaameedhoo,484,0.09222209519454289,9,Ari Atholhu Dhekunuburi,484,Population,484
"Kunburudhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Kunburudhoo,509,0.09698563316946762,9,Ari Atholhu Dhekunuburi,509,Population,509
"Maamigili, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Maamigili,2798,0.5331351701535765,9,Ari Atholhu Dhekunuburi,2798,Population,2798
"Mahibadhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Mahibadhoo,2580,0.4915971190122328,9,Ari Atholhu Dhekunuburi,2580,Population,2580
"Mandhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Mandhoo,418,0.0796463549407416,9,Ari Atholhu Dhekunuburi,418,Population,418
"Omadhoo, Ari Atholhu Dhekunuburi",Population,Alif Dhekunu Buri,Omadhoo,913,0.17396440684425138,9,Ari Atholhu Dhekunuburi,913,Population,913
"Felidhoo, Felidhe Atholhu",Population,Vaavu Atoll,Felidhoo,620,0.11813574177813346,11,Felidhe Atholhu,620,Population,620
"Fulidhoo, Felidhe Atholhu",Population,Vaavu Atoll,Fulidhoo,400,0.07621660759879577,11,Felidhe Atholhu,400,Population,400
"Keyodhoo, Felidhe Atholhu",Population,Vaavu Atoll,Keyodhoo,641,0.12213711367707022,11,Felidhe Atholhu,641,Population,641
"Rakeedhoo, Felidhe Atholhu",Population,Vaavu Atoll,Rakeedhoo,76,0.014481155443771198,11,Felidhe Atholhu,76,Population,76
"Thinadhoo, Felidhe Atholhu",Population,Vaavu Atoll,Thinadhoo,258,0.04915971190122327,11,Felidhe Atholhu,258,Population,258
"Dhiggaru, Meemu (M)",Population,Meemu Atoll,Dhiggaru,1099,0.2094051293776914,15,Meemu (M),1099,Population,1099
"Kolhufushi, Meemu (M)",Population,Meemu Atoll,Kolhufushi,793,0.15109942456461262,15,Meemu (M),793,Population,793
"Maduvvari, Meemu (M)",Population,Meemu Atoll,Maduvvari,318,0.06059220304104264,15,Meemu (M),318,Population,318
"Mulah, Meemu (M)",Population,Meemu Atoll,Mulah,1426,0.271712206089707,15,Meemu (M),1426,Population,1426
"Muli, Meemu (M)",Population,Meemu Atoll,Muli,949,0.18082390152814298,15,Meemu (M),949,Population,949
"Naalaafushi, Meemu (M)",Population,Meemu Atoll,Naalaafushi,430,0.08193285316870545,15,Meemu (M),430,Population,430
"Raimandhoo, Meemu (M)",Population,Meemu Atoll,Raimandhoo,171,0.032582599748485194,15,Meemu (M),171,Population,171
"Veyvah, Meemu (M)",Population,Meemu Atoll,Veyvah,304,0.05792462177508479,15,Meemu (M),304,Population,304
"Biledhdhoo, Nilandhe Atholhu Uthuruburi",Population,Faafu Atoll,Biledhdhoo,967,0.1842536488700888,14,Nilandhe Atholhu Uthuruburi,967,Population,967
"Dharaboodhoo, Nilandhe Atholhu Uthuruburi",Population,Faafu Atoll,Dharaboodhoo,455,0.08669639114363019,14,Nilandhe Atholhu Uthuruburi,455,Population,455
"Feeali, Nilandhe Atholhu Uthuruburi",Population,Faafu Atoll,Feeali,922,0.17567928051522425,14,Nilandhe Atholhu Uthuruburi,922,Population,922
"Magoodhoo, Nilandhe Atholhu Uthuruburi",Population,Faafu Atoll,Magoodhoo,702,0.1337601463358866,14,Nilandhe Atholhu Uthuruburi,702,Population,702
"Nilandhoo, Nilandhe Atholhu Uthuruburi",Population,Faafu Atoll,Nilandhoo,1823,0.3473571891315118,14,Nilandhe Atholhu Uthuruburi,1823,Population,1823
"Badidhoo, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Badidhoo,629,0.11985061544910636,13,Nilandhe Atholhu Dhekunuburi,629,Population,629
"Hulhudheli, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Hulhudheli,764,0.14557372051369993,13,Nilandhe Atholhu Dhekunuburi,764,Population,764
"Kudahuvadhoo, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Kudahuvadhoo,3131,0.596585495979574,13,Nilandhe Atholhu Dhekunuburi,3131,Population,3131
"Maaeboodhoo, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Maaeboodhoo,679,0.12937769139895583,13,Nilandhe Atholhu Dhekunuburi,679,Population,679
"Hulhumeedhoo, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Hulhumeedhoo,1118,0.2130254182386342,13,Nilandhe Atholhu Dhekunuburi,1118,Population,1118
"Ribudhoo, Nilandhe Atholhu Dhekunuburi",Population,Dhaal Atoll,Ribudhoo,316,0.060211120003048665,13,Nilandhe Atholhu Dhekunuburi,316,Population,316
"Buruni, Kolhumadulu Atholhu",Population,Thaa Atoll,Buruni,414,0.07888418886475362,16,Kolhumadulu Atholhu,414,Population,414
"Dhiyamigili, Kolhumadulu Atholhu",Population,Thaa Atoll,Dhiyamigili,649,0.12366144582904615,16,Kolhumadulu Atholhu,649,Population,649
"Gaadhiffushi, Kolhumadulu Atholhu",Population,Thaa Atoll,Gaadhiffushi,317,0.06040166152204565,16,Kolhumadulu Atholhu,317,Population,317
"Guraidhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Guraidhoo,1293,0.24637018406310734,16,Kolhumadulu Atholhu,1293,Population,1293
"Hirilandhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Hirilandhoo,1146,0.2183605807705499,16,Kolhumadulu Atholhu,1146,Population,1146
"Kandoodhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Kandoodhoo,456,0.08688693266262719,16,Kolhumadulu Atholhu,456,Population,456
"Kibidhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Kibidhoo,715,0.13623718608284746,16,Kolhumadulu Atholhu,715,Population,715
"Madifushi, Kolhumadulu Atholhu",Population,Thaa Atoll,Madifushi,858,0.16348462329941693,16,Kolhumadulu Atholhu,858,Population,858
"Omadhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Omadhoo,417,0.0794558134217446,16,Kolhumadulu Atholhu,417,Population,417
"Thimarafushi, Kolhumadulu Atholhu",Population,Thaa Atoll,Thimarafushi,1229,0.23417552684730003,16,Kolhumadulu Atholhu,1229,Population,1229
"Vandhoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Vandhoo,364,0.06935711291490415,16,Kolhumadulu Atholhu,364,Population,364
"Veymandoo, Kolhumadulu Atholhu",Population,Thaa Atoll,Veymandoo,1321,0.251705346595023,16,Kolhumadulu Atholhu,1321,Population,1321
"Vilufushi, Kolhumadulu Atholhu",Population,Thaa Atoll,Vilufushi,1081,0.20597538203574559,16,Kolhumadulu Atholhu,1081,Population,1081
"Dhabidhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Dhabidhoo,606,0.11546816051217561,17,Hadhdhummathi Atholhu,606,Population,606
"Fonadhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Fonadhoo,2986,0.5689569757250105,17,Hadhdhummathi Atholhu,2986,Population,2986
"Gamu, Hadhdhummathi Atholhu",Population,Laamu Atoll,Gamu,4815,0.9174574139705041,17,Hadhdhummathi Atholhu,4815,Population,4815
"Hithadhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Hithadhoo,1108,0.2111200030486643,17,Hadhdhummathi Atholhu,1108,Population,1108
"Isdhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Isdhoo,929,0.1770130711482032,17,Hadhdhummathi Atholhu,929,Population,929
"Kalhaidhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Kalhaidhoo,655,0.12480469494302808,17,Hadhdhummathi Atholhu,655,Population,655
"Kunahandhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Kunahandhoo,601,0.11451545291719066,17,Hadhdhummathi Atholhu,601,Population,601
"Maabaidhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Maabaidhoo,565,0.10765595823329904,17,Hadhdhummathi Atholhu,565,Population,565
"Maamendhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Maamendhoo,879,0.16748599519835372,17,Hadhdhummathi Atholhu,879,Population,879
"Maavah, Hadhdhummathi Atholhu",Population,Laamu Atoll,Maavah,1379,0.26275675469684845,17,Hadhdhummathi Atholhu,1379,Population,1379
"Mundhoo, Hadhdhummathi Atholhu",Population,Laamu Atoll,Mundhoo,176,0.03353530734347014,17,Hadhdhummathi Atholhu,176,Population,176
"Dhaandhoo, Huvadhu Atholhu Uthuruburi",Population,Gaaf Alif Atoll,Dhaandhoo,1044,0.19892534583285698,18,Huvadhu Atholhu Uthuruburi,1044,Population,1044
"Dhevvadhoo, Huvadhu Atholhu Uthuruburi",Population,Gaaf Alif Atoll,Dhevvadhoo,599,0.11413436987919667,18,Huvadhu Atholhu Uthuruburi,599,Population,599
"Gemanafushi, Huvadhu Atholhu Uthuruburi",Population,Gaaf Alif Atoll,Gemanafushi,1318,0.2511337220380321,18,Huvadhu Atholhu Uthuruburi,1318,Population,1318
"Kanduhulhudhoo, Huvadhu Atholhu Uthuruburi",Population,Gaaf Alif Atoll,Kanduhulhudhoo,619,0.11794520025913648,18,Huvadhu Atholhu Uthuruburi,619,Population,619
"Kodey, Huvadhu Atholhu Uthuruburi",Population,Gaaf Alif Atoll,Kodey,328,0.06249761823101253,18,Huvadhu Atholhu Uthuruburi,328,Population,328
