Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Economic dependency,3.2,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Epidemic,5.4,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Epidemic,5.3,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Epidemic,5,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Epidemic,5,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Epidemic,5.8,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Epidemic,5.6,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Epidemic,6.3,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Epidemic,5.5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Epidemic,5.9,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Epidemic,5.2,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Epidemic,5.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Epidemic,5.3,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Epidemic,5.9,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Epidemic,5.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Epidemic,5.9,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Epidemic,6,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Epidemic,6.1,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Flood Risk ( Riverine and Flash Flood),9.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Flood Risk ( Riverine and Flash Flood),3.7,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Flood Risk ( Riverine and Flash Flood),4.7,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Flood Risk ( Riverine and Flash Flood),7.3,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Flood Risk ( Riverine and Flash Flood),7.3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Flood Risk ( Riverine and Flash Flood),8.2,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Flood Risk ( Riverine and Flash Flood),6,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Flood Risk ( Riverine and Flash Flood),8.6,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Flood Risk ( Riverine and Flash Flood),5.9,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Flood Risk ( Riverine and Flash Flood),8.2,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
