area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
Australia,Mongolia,female,1,0,1,32,65,102,108,AUS,MNG,19028802,22031750,23815995,25649248,2450979,2702520,2964749,3294335
Australia,Mongolia,male,2,3,3,59,124,131,140,AUS,MNG,19028802,22031750,23815995,25649248,2450979,2702520,2964749,3294335
Australia,North Korea,male,53,61,68,83,98,109,111,AUS,PRK,19028802,22031750,23815995,25649248,23367059,24686435,25258015,25867467
Australia,Papua New Guinea,female,5801,5586,3797,3679,2964,2960,2951,AUS,PNG,19028802,22031750,23815995,25649248,5508297,7583269,8682174,9749640
Australia,Papua New Guinea,male,8115,8672,6878,6996,6092,6223,6268,AUS,PNG,19028802,22031750,23815995,25649248,5508297,7583269,8682174,9749640
Australia,Philippines,female,346,474,1015,808,1706,1729,1835,AUS,PHL,19028802,22031750,23815995,25649248,77958223,94636700,103031365,112190977
Australia,Philippines,male,597,795,1381,1131,2226,2264,2414,AUS,PHL,19028802,22031750,23815995,25649248,77958223,94636700,103031365,112190977
Australia,Solomon Islands,female,156,154,147,134,131,122,118,AUS,SLB,19028802,22031750,23815995,25649248,429978,540394,612660,691191
Australia,Solomon Islands,male,204,202,193,175,167,157,153,AUS,SLB,19028802,22031750,23815995,25649248,429978,540394,612660,691191
Australia,South Korea,female,137,283,503,438,575,918,1020,AUS,KOR,19028802,22031750,23815995,25649248,47008111,49554112,51014947,51836239
Australia,South Korea,male,178,348,645,1717,3441,2624,4584,AUS,KOR,19028802,22031750,23815995,25649248,47008111,49554112,51014947,51836239
Australia,Sri Lanka,female,19,31,54,127,236,243,242,AUS,LKA,19028802,22031750,23815995,25649248,18776371,20668557,21336697,21919000
Australia,Sri Lanka,male,32,69,96,126,229,226,232,AUS,LKA,19028802,22031750,23815995,25649248,18776371,20668557,21336697,21919000
Australia,Thailand,female,184,318,526,483,465,500,524,AUS,THA,19028802,22031750,23815995,25649248,63066603,68270489,70294397,71475664
Australia,Thailand,male,409,673,1069,919,845,905,946,AUS,THA,19028802,22031750,23815995,25649248,63066603,68270489,70294397,71475664
Australia,Timor-Leste,female,224,247,273,284,287,213,209,AUS,TLS,19028802,22031750,23815995,25649248,878360,1088486,1205813,1299995
Australia,Timor-Leste,male,201,204,209,238,256,349,344,AUS,TLS,19028802,22031750,23815995,25649248,878360,1088486,1205813,1299995
Australia,Vanuatu,female,180,210,223,274,307,327,334,AUS,VUT,19028802,22031750,23815995,25649248,192074,245453,276438,311685
Australia,Vanuatu,male,262,235,227,275,305,324,331,AUS,VUT,19028802,22031750,23815995,25649248,192074,245453,276438,311685
Austria,Philippines,female,34,46,736,586,225,228,241,AUT,PHL,8011566,8363404,8642699,8916864,77958223,94636700,103031365,112190977
Austria,Philippines,male,58,77,921,755,270,275,292,AUT,PHL,8011566,8363404,8642699,8916864,77958223,94636700,103031365,112190977
Azerbaijan,Iran,female,466,462,1414,3845,3869,2950,2441,AZE,IRN,8048600,9054332,9649341,10093121,65544383,75373855,81790841,87290193
Azerbaijan,Iran,male,430,441,1632,3922,3480,2794,2347,AZE,IRN,8048600,9054332,9649341,10093121,65544383,75373855,81790841,87290193
Bahrain,Bangladesh,female,40,4772,9504,11312,13096,13873,20438,BHR,BGD,711442,1213645,1362142,1477469,129193327,148391139,157830000,167420951
Bahrain,Bangladesh,male,49,5603,11157,13280,15375,16287,9136,BHR,BGD,711442,1213645,1362142,1477469,129193327,148391139,157830000,167420951
Bahrain,Sri Lanka,female,2,10,29,94,187,193,192,BHR,LKA,711442,1213645,1362142,1477469,18776371,20668557,21336697,21919000
Bahrain,Sri Lanka,male,2,40,68,100,206,205,210,BHR,LKA,711442,1213645,1362142,1477469,18776371,20668557,21336697,21919000
Bangladesh,Australia,female,927,2240,3415,6214,11953,19078,23340,BGD,AUS,129193327,148391139,157830000,167420951,19028802,22031750,23815995,25649248
Bangladesh,Australia,male,1388,3322,5075,9914,17597,24012,29567,BGD,AUS,129193327,148391139,157830000,167420951,19028802,22031750,23815995,25649248
Bangladesh,Austria,female,501,556,611,694,787,904,1168,BGD,AUT,129193327,148391139,157830000,167420951,8011566,8363404,8642699,8916864
Bangladesh,Austria,male,1007,1145,1283,1406,1545,1728,2158,BGD,AUT,129193327,148391139,157830000,167420951,8011566,8363404,8642699,8916864
Bangladesh,Bahrain,female,2049,3630,5268,7414,11174,11649,14602,BGD,BHR,129193327,148391139,157830000,167420951,711442,1213645,1362142,1477469
Bangladesh,Bahrain,male,18393,21000,23621,42486,70746,77164,100469,BGD,BHR,129193327,148391139,157830000,167420951,711442,1213645,1362142,1477469
Bangladesh,Belgium,female,184,274,355,643,762,974,1097,BGD,BEL,129193327,148391139,157830000,167420951,10251250,10895586,11274196,11538604
Bangladesh,Belgium,male,370,546,709,965,1199,1732,1597,BGD,BEL,129193327,148391139,157830000,167420951,10251250,10895586,11274196,11538604
Bangladesh,Brazil,male,0,0,0,22,46,53,5384,BGD,BRA,129193327,148391139,157830000,167420951,175873720,196353492,205188205,213196304
Bangladesh,Brunei Darussalam,female,66,90,114,116,118,120,130,BGD,BRN,129193327,148391139,157830000,167420951,333926,396053,421437,441725
Bangladesh,Brunei Darussalam,male,593,818,1042,1066,1090,1114,1213,BGD,BRN,129193327,148391139,157830000,167420951,333926,396053,421437,441725
Bangladesh,Bulgaria,female,4,69,134,211,282,243,251,BGD,BGR,129193327,148391139,157830000,167420951,8170172,7395599,7177991,6934015
Bangladesh,Bulgaria,male,18,81,144,218,289,235,288,BGD,BGR,129193327,148391139,157830000,167420951,8170172,7395599,7177991,6934015
Bangladesh,Canada,female,2157,6773,11548,16271,21681,28701,31097,BGD,CAN,129193327,148391139,157830000,167420951,30685730,34005902,35704498,38028638
Bangladesh,Canada,male,2046,6328,10762,16809,23644,29673,32153,BGD,CAN,129193327,148391139,157830000,167420951,30685730,34005902,35704498,38028638
Bangladesh,China,female,307,529,755,978,1116,1314,1428,BGD,CHN,129193327,148391139,157830000,167420951,1262645000,1337705000,1379860000,1411100000
Bangladesh,China,male,163,328,518,861,1207,1551,1687,BGD,CHN,129193327,148391139,157830000,167420951,1262645000,1337705000,1379860000,1411100000
Bangladesh,Cyprus,male,159,224,290,1538,670,615,1502,BGD,CYP,129193327,148391139,157830000,167420951,948237,1129686,1187280,1237537
Bangladesh,Czechia,male,7,10,13,61,104,160,666,BGD,CZE,129193327,148391139,157830000,167420951,10255063,10474410,10546059,10697858
Bangladesh,Denmark,female,163,196,228,286,328,583,845,BGD,DNK,129193327,148391139,157830000,167420951,5339616,5547683,5683483,5831404
Bangladesh,Denmark,male,78,124,170,265,344,737,1074,BGD,DNK,129193327,148391139,157830000,167420951,5339616,5547683,5683483,5831404
Bangladesh,Egypt,male,89,121,164,196,211,147,227,BGD,EGY,129193327,148391139,157830000,167420951,71371371,87252413,97723799,107465134
Bangladesh,Estonia,male,0,0,0,0,10,32,212,BGD,EST,129193327,148391139,157830000,167420951,1396985,1331475,1315407,1329522
Bangladesh,Fiji,female,714,680,645,583,617,628,643,BGD,FJI,129193327,148391139,157830000,167420951,832509,905169,917200,920422
Bangladesh,Fiji,male,654,654,642,652,709,738,755,BGD,FJI,129193327,148391139,157830000,167420951,832509,905169,917200,920422
Bangladesh,Finland,female,22,64,105,244,331,607,1027,BGD,FIN,129193327,148391139,157830000,167420951,5176209,5363352,5479531,5529543
Bangladesh,Finland,male,93,167,242,631,866,1278,1956,BGD,FIN,129193327,148391139,157830000,167420951,5176209,5363352,5479531,5529543
Bangladesh,France,female,766,804,842,1123,1726,3958,6582,BGD,FRA,129193327,148391139,157830000,167420951,60921384,65030575,66548272,67571107
Bangladesh,France,male,1432,1465,1498,2041,2964,3768,6296,BGD,FRA,129193327,148391139,157830000,167420951,60921384,65030575,66548272,67571107
Bangladesh,Germany,female,394,797,1200,1701,2096,2164,3889,BGD,DEU,129193327,148391139,157830000,167420951,82211508,81776930,81686611,83160871
Bangladesh,Germany,male,4373,4507,4641,4308,4006,4098,9723,BGD,DEU,129193327,148391139,157830000,167420951,82211508,81776930,81686611,83160871
Bangladesh,Greece,female,3420,1755,150,380,633,619,1410,BGD,GRC,129193327,148391139,157830000,167420951,10805808,11121341,10820883,10698599
Bangladesh,Greece,male,4245,4374,4544,6981,9757,9172,1441,BGD,GRC,129193327,148391139,157830000,167420951,10805808,11121341,10820883,10698599
Bangladesh,Hong Kong,female,103,116,128,147,166,174,187,BGD,HKG,129193327,148391139,157830000,167420951,6665000,7024200,7291300,7481000
Bangladesh,Hong Kong,male,194,216,238,253,269,270,275,BGD,HKG,129193327,148391139,157830000,167420951,6665000,7024200,7291300,7481000
Bangladesh,Hungary,male,52,46,40,50,60,53,196,BGD,HUN,129193327,148391139,157830000,167420951,10210971,10000023,9843028,9750149
Bangladesh,India,female,2050262,1946520,1842778,1639775,1380839,1310926,1247149,BGD,IND,129193327,148391139,157830000,167420951,1059633675,1240613620,1322866505,1396387127
Bangladesh,India,male,2324893,2180615,2036336,1659058,1474495,1349706,1241322,BGD,IND,129193327,148391139,157830000,167420951,1059633675,1240613620,1322866505,1396387127
Bangladesh,Ireland,female,80,292,641,798,924,956,1088,BGD,IRL,129193327,148391139,157830000,167420951,3805174,4560155,4701957,4985382
Bangladesh,Ireland,male,77,265,623,1615,2240,2276,2618,BGD,IRL,129193327,148391139,157830000,167420951,3805174,4560155,4701957,4985382
Bangladesh,Italy,female,594,4189,7784,16566,24070,27525,33403,BGD,ITA,129193327,148391139,157830000,167420951,56942108,59277417,60730582,59438851
Bangladesh,Italy,male,4827,10172,15516,43594,65079,77559,102065,BGD,ITA,129193327,148391139,157830000,167420951,56942108,59277417,60730582,59438851
Bangladesh,Japan,female,1035,2601,3861,5226,5599,6001,8696,BGD,JPN,129193327,148391139,157830000,167420951,126843000,128070000,127141000,126261000
Bangladesh,Japan,male,1075,2402,3316,4371,4576,4834,7006,BGD,JPN,129193327,148391139,157830000,167420951,126843000,128070000,127141000,126261000
Bangladesh,Jordan,female,297,1348,2388,1828,4894,2567,3335,BGD,JOR,129193327,148391139,157830000,167420951,5056174,6931258,9494246,10928721
Bangladesh,Jordan,male,651,3329,6014,7260,16959,6454,8358,BGD,JOR,129193327,148391139,157830000,167420951,5056174,6931258,9494246,10928721
Bangladesh,Kuwait,female,17595,18355,26035,28466,37701,58212,63188,BGD,KWT,129193327,148391139,157830000,167420951,1934901,2943356,3908743,4360444
Bangladesh,Kuwait,male,109188,91689,110012,146576,220370,292017,316858,BGD,KWT,129193327,148391139,157830000,167420951,1934901,2943356,3908743,4360444
Bangladesh,Lebanon,female,136,664,1192,1077,970,1541,1320,BGD,LBN,129193327,148391139,157830000,167420951,4320642,4995800,6398940,5662923
Bangladesh,Lebanon,male,297,1460,2622,2569,2528,1416,1262,BGD,LBN,129193327,148391139,157830000,167420951,4320642,4995800,6398940,5662923
Bangladesh,Libya,male,252,554,866,966,1061,1188,1275,BGD,LBY,129193327,148391139,157830000,167420951,5154790,6491988,6192235,6653942
Bangladesh,Malaysia,female,963,10126,23327,87487,149105,163861,168432,BGD,MYS,129193327,148391139,157830000,167420951,22945150,28717731,31068833,33199993
Bangladesh,Malaysia,male,22967,23327,29945,115387,202317,228434,247285,BGD,MYS,129193327,148391139,157830000,167420951,22945150,28717731,31068833,33199993
Bangladesh,Maldives,female,731,1786,2372,7716,4097,478,519,BGD,MDV,129193327,148391139,157830000,167420951,282507,361575,435582,514438
Bangladesh,Maldives,male,892,1788,2914,12447,24501,36556,39871,BGD,MDV,129193327,148391139,157830000,167420951,282507,361575,435582,514438
