iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
IDN,Indonesia,2017,9500,9481,2700,2690,375000,375393,NA,0,0,264498852,NA,3.584515,0
IND,India,2017,800000,800411,78000,78136,1346000,1345994,NA,0,0,1354195680,NA,59.106007,0
IRN,Iran,2017,NA,0,NA,NA,225000,224599,NA,0,0,84505076,NA,0,0
JPN,Japan,2017,NA,0,NA,NA,21000,20796,NA,0,0,126972000,NA,0,0
KHM,Cambodia,2017,NA,0,NA,NA,15000,15067,NA,0,0,15830689,NA,0,0
LAO,Lao PDR,2017,NA,0,NA,NA,190,188,NA,0,0,6997917,NA,0,0
MDV,Maldives,2017,NA,0,NA,NA,76,76,NA,0,0,472442,NA,0,0
MMR,Myanmar,2017,635000,635155,57000,56967,351000,351436,NA,0,0,52288341,NA,1214.716298,0
MYS,Malaysia,2017,NA,0,NA,NA,82000,82393,NA,0,0,31975806,NA,0,0
NZL,New Zealand,2017,NA,0,NA,NA,6200,6250,NA,0,0,4813600,NA,0,0
PAK,Pakistan,2017,249000,249491,75000,75137,1800,1750,NA,0,0,216379655,NA,115.30243,0
PHL,Philippines,2017,445000,445268,645000,644811,2529000,2528620,NA,0,0,106738501,NA,417.157816,0
PNG,Papua New Guinea,2017,12000,12423,NA,NA,1400,1387,NA,0,0,9114796,NA,136.294877,0
THA,Thailand,2017,41000,40584,NA,NA,50000,50371,NA,0,0,70898202,NA,57.242636,0
VNM,Viet Nam,2017,NA,0,NA,NA,633000,633463,NA,0,0,94033048,NA,0,0
VUT,Vanuatu,2017,NA,0,NA,NA,14000,14259,NA,0,0,290239,NA,0,0
AFG,Afghanistan,2016,1200000,1200000,653000,652594,7400,7394,NA,0,0,34636207,NA,3464.582597,0
AUS,Australia,2016,NA,0,NA,NA,3200,3234,NA,0,0,24190907,NA,0,0
BGD,Bangladesh,2016,426000,426070,NA,NA,614000,613710,NA,0,0,159784568,NA,266.652785,0
BTN,Bhutan,2016,NA,0,NA,NA,640,638,NA,0,0,749761,NA,0,0
CHN,China,2016,NA,0,NA,NA,7434000,7434305,NA,0,0,1387790000,NA,0,0
FJI,Fiji,2016,NA,0,NA,NA,76000,76072,NA,0,0,918371,NA,0,0
HKG,"Hong Kong, China",2016,NA,0,NA,NA,220,218,NA,0,0,7336600,NA,0,0
IDN,Indonesia,2016,6700,6731,NA,NA,1204000,1204487,NA,0,0,261850182,NA,2.570554,0
IND,India,2016,796000,796275,448000,448400,2400000,2400307,NA,0,0,1338636340,NA,59.484042,0
IRN,Iran,2016,NA,0,NA,NA,78,78,NA,0,0,83306231,NA,0,0
JPN,Japan,2016,NA,0,NA,NA,863000,862740,NA,0,0,127076000,NA,0,0
KHM,Cambodia,2016,NA,0,NA,NA,8300,8275,NA,0,0,15624584,NA,0,0
LAO,Lao PDR,2016,NA,0,NA,NA,660,659,NA,0,0,6891363,NA,0,0
MMR,Myanmar,2016,644000,644000,32000,32000,509000,509238,NA,0,0,51892349,NA,1241.030735,0
MYS,Malaysia,2016,NA,0,NA,NA,18000,18475,NA,0,0,31526418,NA,0,0
NZL,New Zealand,2016,NA,0,NA,NA,1800,1789,NA,0,0,4714100,NA,0,0
PAK,Pakistan,2016,464000,463921,2400,2356,13000,12673,NA,0,0,213524840,NA,217.26793,0
PHL,Philippines,2016,87000,87417,280000,279870,5930000,5929853,NA,0,0,104875266,NA,83.353305,0
PNG,Papua New Guinea,2016,8400,8421,290,290,1600,1630,NA,0,0,8899169,NA,94.626813,0
PRK,Dem. People's Rep. Korea,2016,NA,0,NA,NA,107000,107000,NA,0,0,25389611,NA,0,0
THA,Thailand,2016,35000,35000,NA,NA,90000,90025,NA,0,0,70607037,NA,49.57013,0
TLS,Timor-Leste,2016,NA,0,NA,NA,110,112,NA,0,0,1224562,NA,0,0
TON,Tonga,2016,NA,0,NA,NA,3000,3000,NA,0,0,105707,NA,0,0
