area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population,destination_population
Afghanistan,Italy,2020,male,17187,AFG,ITA,38972230,59438851
Afghanistan,Jordan,2000,female,30,AFG,JOR,19542982,5056174
Afghanistan,Jordan,2000,male,46,AFG,JOR,19542982,5056174
Afghanistan,Jordan,2005,female,12,AFG,JOR,24411191,5678534
Afghanistan,Jordan,2005,male,26,AFG,JOR,24411191,5678534
Afghanistan,Jordan,2010,female,38,AFG,JOR,28189672,6931258
Afghanistan,Jordan,2010,male,81,AFG,JOR,28189672,6931258
Afghanistan,Jordan,2015,female,19,AFG,JOR,33753499,9494246
Afghanistan,Jordan,2015,male,30,AFG,JOR,33753499,9494246
Afghanistan,Jordan,2020,female,24,AFG,JOR,38972230,10928721
Afghanistan,Jordan,2020,male,37,AFG,JOR,38972230,10928721
Afghanistan,Kuwait,2000,female,396,AFG,KWT,19542982,1934901
Afghanistan,Kuwait,2000,male,823,AFG,KWT,19542982,1934901
Afghanistan,Kuwait,2005,female,449,AFG,KWT,24411191,2235403
Afghanistan,Kuwait,2005,male,868,AFG,KWT,24411191,2235403
Afghanistan,Kuwait,2010,female,624,AFG,KWT,28189672,2943356
Afghanistan,Kuwait,2010,male,1170,AFG,KWT,28189672,2943356
Afghanistan,Kuwait,2015,female,1057,AFG,KWT,33753499,3908743
Afghanistan,Kuwait,2015,male,1612,AFG,KWT,33753499,3908743
Afghanistan,Kuwait,2020,female,1146,AFG,KWT,38972230,4360444
Afghanistan,Kuwait,2020,male,1750,AFG,KWT,38972230,4360444
Afghanistan,Latvia,2000,female,2,AFG,LVA,19542982,2367550
Afghanistan,Latvia,2000,male,22,AFG,LVA,19542982,2367550
Afghanistan,Latvia,2005,female,1,AFG,LVA,24411191,2238799
Afghanistan,Latvia,2005,male,23,AFG,LVA,24411191,2238799
Afghanistan,Latvia,2010,female,1,AFG,LVA,28189672,2097555
Afghanistan,Latvia,2010,male,24,AFG,LVA,28189672,2097555
Afghanistan,Latvia,2015,female,6,AFG,LVA,33753499,1977527
Afghanistan,Latvia,2015,male,21,AFG,LVA,33753499,1977527
Afghanistan,Latvia,2020,female,20,AFG,LVA,38972230,1900449
Afghanistan,Latvia,2020,male,26,AFG,LVA,38972230,1900449
Afghanistan,Libya,2000,female,81,AFG,LBY,19542982,5154790
Afghanistan,Libya,2000,male,155,AFG,LBY,19542982,5154790
Afghanistan,Libya,2005,female,73,AFG,LBY,24411191,5837986
Afghanistan,Libya,2005,male,187,AFG,LBY,24411191,5837986
Afghanistan,Libya,2010,female,79,AFG,LBY,28189672,6491988
Afghanistan,Libya,2010,male,206,AFG,LBY,28189672,6491988
Afghanistan,Libya,2015,female,89,AFG,LBY,33753499,6192235
Afghanistan,Libya,2015,male,230,AFG,LBY,33753499,6192235
Afghanistan,Libya,2020,female,92,AFG,LBY,38972230,6653942
Afghanistan,Libya,2020,male,248,AFG,LBY,38972230,6653942
Afghanistan,Liechtenstein,2010,male,3,AFG,LIE,28189672,35926
Afghanistan,Liechtenstein,2015,female,1,AFG,LIE,33753499,37355
Afghanistan,Liechtenstein,2015,male,3,AFG,LIE,33753499,37355
Afghanistan,Liechtenstein,2020,female,3,AFG,LIE,38972230,38756
Afghanistan,Liechtenstein,2020,male,3,AFG,LIE,38972230,38756
Afghanistan,Lithuania,2000,female,12,AFG,LTU,19542982,3499536
Afghanistan,Lithuania,2000,male,23,AFG,LTU,19542982,3499536
Afghanistan,Lithuania,2005,female,7,AFG,LTU,24411191,3322528
Afghanistan,Lithuania,2005,male,24,AFG,LTU,24411191,3322528
Afghanistan,Lithuania,2010,female,2,AFG,LTU,28189672,3097282
Afghanistan,Lithuania,2010,male,22,AFG,LTU,28189672,3097282
Afghanistan,Lithuania,2015,female,4,AFG,LTU,33753499,2904910
Afghanistan,Lithuania,2015,male,16,AFG,LTU,33753499,2904910
Afghanistan,Lithuania,2020,female,19,AFG,LTU,38972230,2794885
Afghanistan,Lithuania,2020,male,22,AFG,LTU,38972230,2794885
Afghanistan,Luxembourg,2020,female,138,AFG,LUX,38972230,630419
Afghanistan,Luxembourg,2020,male,295,AFG,LUX,38972230,630419
Afghanistan,Malaysia,2000,female,23,AFG,MYS,19542982,22945150
Afghanistan,Malaysia,2000,male,27,AFG,MYS,19542982,22945150
Afghanistan,Malaysia,2005,female,117,AFG,MYS,24411191,25923536
Afghanistan,Malaysia,2005,male,154,AFG,MYS,24411191,25923536
Afghanistan,Malaysia,2010,female,222,AFG,MYS,28189672,28717731
Afghanistan,Malaysia,2010,male,284,AFG,MYS,28189672,28717731
Afghanistan,Malaysia,2015,female,228,AFG,MYS,33753499,31068833
Afghanistan,Malaysia,2015,male,317,AFG,MYS,33753499,31068833
Afghanistan,Malaysia,2020,female,1114,AFG,MYS,38972230,33199993
Afghanistan,Malaysia,2020,male,1364,AFG,MYS,38972230,33199993
Afghanistan,Mali,2010,female,86,AFG,MLI,28189672,15529181
Afghanistan,Mali,2010,male,299,AFG,MLI,28189672,15529181
Afghanistan,Mali,2015,female,105,AFG,MLI,33753499,18112907
Afghanistan,Mali,2015,male,368,AFG,MLI,33753499,18112907
Afghanistan,Mali,2020,female,121,AFG,MLI,38972230,21224040
Afghanistan,Mali,2020,male,432,AFG,MLI,38972230,21224040
Afghanistan,Namibia,2000,female,35,AFG,NAM,19542982,1819141
Afghanistan,Namibia,2000,male,23,AFG,NAM,19542982,1819141
Afghanistan,Namibia,2005,female,27,AFG,NAM,24411191,1962865
Afghanistan,Namibia,2005,male,18,AFG,NAM,24411191,1962865
Afghanistan,Namibia,2010,female,25,AFG,NAM,28189672,2099271
Afghanistan,Namibia,2010,male,18,AFG,NAM,28189672,2099271
Afghanistan,Namibia,2015,female,24,AFG,NAM,33753499,2282704
Afghanistan,Namibia,2015,male,18,AFG,NAM,33753499,2282704
Afghanistan,Namibia,2020,female,25,AFG,NAM,38972230,2489098
Afghanistan,Namibia,2020,male,19,AFG,NAM,38972230,2489098
Afghanistan,Netherlands,2000,female,8431,AFG,NLD,19542982,15925513
Afghanistan,Netherlands,2000,male,11252,AFG,NLD,19542982,15925513
Afghanistan,Netherlands,2005,female,14145,AFG,NLD,24411191,16319868
Afghanistan,Netherlands,2005,male,18042,AFG,NLD,24411191,16319868
Afghanistan,Netherlands,2010,female,14264,AFG,NLD,28189672,16615394
Afghanistan,Netherlands,2010,male,16721,AFG,NLD,28189672,16615394
Afghanistan,Netherlands,2015,female,15266,AFG,NLD,33753499,16939923
Afghanistan,Netherlands,2015,male,17469,AFG,NLD,33753499,16939923
Afghanistan,Netherlands,2020,female,16905,AFG,NLD,38972230,17441500
Afghanistan,Netherlands,2020,male,19513,AFG,NLD,38972230,17441500
