adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV014,Thaa Atoll,Guraidhoo,Guraidhoo,MV014005,Thaa (Th),"Guraidhoo, Thaa (Th)"
MV014,Thaa Atoll,Hirilandhoo,Hirilandhoo,MV014008,Thaa (Th),"Hirilandhoo, Thaa (Th)"
MV014,Thaa Atoll,Kandoodhoo,Kan'doodhoo,MV014006,Thaa (Th),"Kandoodhoo, Thaa (Th)"
MV014,Thaa Atoll,Kibidhoo,Kin'bidhoo,MV014012,Thaa (Th),"Kibidhoo, Thaa (Th)"
MV014,Thaa Atoll,Madifushi,Madifushi,MV014003,Thaa (Th),"Madifushi, Thaa (Th)"
MV014,Thaa Atoll,Omadhoo,Omadhoo,MV014013,Thaa (Th),"Omadhoo, Thaa (Th)"
MV014,Thaa Atoll,Thimarafushi,Thimarafushi,MV014010,Thaa (Th),"Thimarafushi, Thaa (Th)"
MV014,Thaa Atoll,Vandhoo,Vandhoo,MV014007,Thaa (Th),"Vandhoo, Thaa (Th)"
MV014,Thaa Atoll,Veymandoo,Veymandoo,MV014011,Thaa (Th),"Veymandoo, Thaa (Th)"
MV014,Thaa Atoll,Vilufushi,Vilufushi,MV014002,Thaa (Th),"Vilufushi, Thaa (Th)"
MV015,Laamu Atoll,Dhabidhoo,Dhan'bidhoo,MV015002,Laamu (L),"Dhabidhoo, Laamu (L)"
MV015,Laamu Atoll,Fonadhoo,Fonadhoo,MV015008,Laamu (L),"Fonadhoo, Laamu (L)"
MV015,Laamu Atoll,Gamu,Gan,MV015013,Laamu (L),"Gamu, Laamu (L)"
MV015,Laamu Atoll,Hithadhoo,Hithadhoo,MV015011,Laamu (L),"Hithadhoo, Laamu (L)"
MV015,Laamu Atoll,Isdhoo,Isdhoo,MV015001,Laamu (L),"Isdhoo, Laamu (L)"
MV015,Laamu Atoll,Kalhaidhoo,Kalhaidhoo,MV015046,Laamu (L),"Kalhaidhoo, Laamu (L)"
MV015,Laamu Atoll,Kunahandhoo,Kunahandhoo,MV015012,Laamu (L),"Kunahandhoo, Laamu (L)"
MV015,Laamu Atoll,Maabaidhoo,Maabaidhoo,MV015003,Laamu (L),"Maabaidhoo, Laamu (L)"
MV015,Laamu Atoll,Maamendhoo,Maamendhoo,MV015010,Laamu (L),"Maamendhoo, Laamu (L)"
MV015,Laamu Atoll,Maavah,Maavah,MV015007,Laamu (L),"Maavah, Laamu (L)"
MV015,Laamu Atoll,Mundhoo,Mundoo,MV015004,Laamu (L),"Mundhoo, Laamu (L)"
MV015,Laamu Atoll,Gan,Gan,MV015013,Laamu (L),"Gan, Laamu (L)"
MV016,Gaaf Alif Atoll,Dhaandhoo,Dhaandhoo,MV016005,Gaafu Alif (GA),"Dhaandhoo, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Dhevvadhoo,Dhevvadhoo,MV016006,Gaafu Alif (GA),"Dhevvadhoo, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Gemanafushi,Gemanafushi,MV016009,Gaafu Alif (GA),"Gemanafushi, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Kanduhulhudhoo,Kan'duhulhudhoo,MV016010,Gaafu Alif (GA),"Kanduhulhudhoo, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Kodey,Kon'dey,MV016007,Gaafu Alif (GA),"Kodey, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Kolamaafushi,Kolamaafushi,MV016001,Gaafu Alif (GA),"Kolamaafushi, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Maamendhoo,Maamendhoo,MV016003,Gaafu Alif (GA),"Maamendhoo, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Nilandhoo,Nilandhoo,MV016004,Gaafu Alif (GA),"Nilandhoo, Gaafu Alif (GA)"
MV016,Gaaf Alif Atoll,Viligili,Vilin'gili,MV016002,Gaafu Alif (GA),"Viligili, Gaafu Alif (GA)"
MV017,Gaaf Dhaal Atoll,Fares-Maathodaa,Faresmaathodaa,MV017008,Gaafu Dhaalu (GDh),"Fares-Maathodaa, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Fiyoari,Fiyoari,MV017007,Gaafu Dhaalu (GDh),"Fiyoari, Gaafu Dhaalu (GDh)"
