Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Hoarafushi,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),10.157523085279738,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),10.157523085279738
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),100.48484848484848,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),100.48484848484848
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,65.56556556556556,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,65.56556556556556
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,49.44944944944945,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,49.44944944944945
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,16.116116116116117,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,16.116116116116117
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,547,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,547
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,494,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,494
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,250,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,250
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,999,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,999
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,115,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,115
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,371,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,371
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,161,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,161
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),33.07134220072551,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),33.07134220072551
